nodo_id,distro_linux,uso_cpu_pct,uso_ram_gb,temperatura_c,fallo_sistema
SRV-00001,Ubuntu,73.2,47.7,67.6,0
SRV-00002,CachyOS,,51.8,50.8,0
SRV-00003,Arch,83.4,34.8,53.4,1
SRV-00004,Ubuntu,6.4,15.7,46.6,0
SRV-00005,Ubuntu,60.5,24.9,70.9,0
SRV-00006,Ubuntu,79.3,36.7,42.2,0
SRV-00007,Fedora,73.5,37.8,94.8,0
SRV-00008,Fedora,78.0,63.8,458.2,1
SRV-00009,Arch,12.7,56.2,61.5,1
SRV-00010,Fedora,16.7,,49.7,1
SRV-00011,Fedora,86.3,5.4,79.3,1
SRV-00012,CachyOS,94.6,45.9,73.0,0
SRV-00013,Arch,,45.6,32.5,1
SRV-00014,Fedora,53.8,16.3,55.3,1
SRV-00015,Ubuntu,66.6,22.4,44.7,1
SRV-00016,Ubuntu,44.5,64.0,92.9,1
SRV-00017,CachyOS,565.9,59.4,47.1,1
SRV-00018,Arch,22.9,20.8,59.9,0
SRV-00019,Ubuntu,59.1,57.1,67.8,1
SRV-00020,Fedora,66.3,41.7,480.7,0
SRV-00021,Fedora,50.6,16.4,57.4,0
SRV-00022,Arch,91.4,57.1,38.4,1
SRV-00023,Arch,88.9,,79.7,1
SRV-00024,Ubuntu,9.2,53.6,37.9,0
SRV-00025,Fedora,67.5,56.1,78.2,0
SRV-00026,Ubuntu,19.2,43.2,44.6,0
SRV-00027,Fedora,21.2,55.9,72.2,1
SRV-00028,CachyOS,NaN,56.3,66.9,1
SRV-00029,Arch,43.9,13.0,57.2,0
SRV-00030,Ubuntu,93.1,8.9,62.0,0
SRV-00031,CachyOS,67.0,,47.2,1
SRV-00032,Fedora,51.1,42.5,72.5,0
SRV-00033,Fedora,79.4,39.5,58.5,1
SRV-00034,Fedora,16.2,56.8,42.7,0
SRV-00035,Ubuntu,45.8,38.5,87.7,1
SRV-00036,CachyOS,45.2,50.0,44.0,1
SRV-00037,Ubuntu,15.3,5.0,64.4,0
SRV-00038,CachyOS,47.8,57.2,64.1,1
SRV-00039,CachyOS,48.6,46.6,89.6,0
SRV-00040,CachyOS,15.0,14.3,79.0,1
SRV-00041,CachyOS,3.9,42.0,71.7,0
SRV-00042,Fedora,14.1,45.1,39.2,0
SRV-00043,Ubuntu,57.6,24.6,41.3,1
SRV-00044,Ubuntu,78.4,42.7,71.4,1
SRV-00045,CachyOS,69.9,18.0,64.1,1
SRV-00046,Fedora,81.8,30.3,53.4,0
SRV-00047,Arch,34.7,1.6,33.7,1
SRV-00048,CachyOS,45.0,16.3,52.7,1
SRV-00049,CachyOS,28.0,8.5,79.1,1
SRV-00050,Fedora,30.4,9.0,31.7,1
SRV-00051,Ubuntu,57.1,4.2,60.0,0
SRV-00052,Arch,10.2,38.6,80.0,1
SRV-00053,Ubuntu,60.5,14.3,,1
SRV-00054,CachyOS,30.0,29.6,89.9,0
SRV-00055,Fedora,64.2,11.5,78.2,1
SRV-00056,Arch,NaN,28.2,44.8,0
SRV-00057,Arch,57.3,28.9,94.8,1
SRV-00058,Arch,32.8,32.2,54.8,1
SRV-00059,CachyOS,830.0,30.1,62.7,0
SRV-00060,Fedora,91.1,62.3,44.0,0
SRV-00061,Ubuntu,46.3,46.1,46.3,0
SRV-00062,Fedora,84.9,59.9,83.0,1
SRV-00063,CachyOS,53.7,29.7,40.6,1
SRV-00064,CachyOS,69.7,52.7,61.2,0
SRV-00065,CachyOS,864.2,55.9,33.0,1
SRV-00066,Arch,83.8,46.3,86.4,1
SRV-00067,Ubuntu,43.7,29.0,88.5,1
SRV-00068,Fedora,53.0,6.0,69.5,1
SRV-00069,CachyOS,26.5,43.7,57.6,1
SRV-00070,CachyOS,83.1,15.9,66.5,1
SRV-00071,Ubuntu,89.4,49.9,81.7,0
SRV-00072,Ubuntu,31.7,6.7,78.1,1
SRV-00073,Arch,81.7,51.8,50.7,0
SRV-00074,CachyOS,94.9,1.9,58.5,1
SRV-00075,Fedora,47.3,39.4,70.6,0
SRV-00076,Ubuntu,31.2,9.5,72.9,0
SRV-00077,Ubuntu,82.0,44.5,57.8,1
SRV-00078,Arch,7.8,52.9,42.2,1
SRV-00079,Fedora,77.5,37.9,43.6,1
SRV-00080,Fedora,96.8,55.6,,1
SRV-00081,CachyOS,52.5,33.3,61.8,1
SRV-00082,Ubuntu,7.8,31.9,32.9,1
SRV-00083,Arch,38.6,28.1,35.7,0
SRV-00084,Fedora,41.7,20.7,45.1,0
SRV-00085,Ubuntu,43.5,4.8,65.6,1
SRV-00086,Ubuntu,95.0,14.4,43.0,1
SRV-00087,CachyOS,83.1,NaN,90.2,1
SRV-00088,Arch,2.6,9.9,30.1,1
