id_carrera,neumatico,vueltas_uso,tiempo_pitstop_s,temp_pista_c,podio
R2026-00001,Blando,43,5.99,48.4,1
R2026-00002,Duro,2,4.31,27.4,0
R2026-00003,Blando,44,2.36,22.4,0
R2026-00004,Duro,28,5.96,48.2,1
R2026-00005,Lluvia,19,3.79,19.9,0
R2026-00006,Duro,19,3.81,29.9,0
R2026-00007,Medio,6,2.51,20.6,0
R2026-00008,Blando,20,3.64,37.4,1
R2026-00009,Duro,40,3.77,50.6,0
R2026-00010,Medio,33,3.87,54.4,1
R2026-00011,Medio,24,5.79,21.1,1
R2026-00012,Blando,24,2.86,,0
R2026-00013,Medio,19,2.48,49.5,1
R2026-00014,Duro,34,4.18,,1
R2026-00015,Blando,20,3.29,27.4,1
R2026-00016,Lluvia,12,2.28,31.9,0
R2026-00017,Duro,32,4.64,29.6,1
R2026-00018,Lluvia,40,4.44,29.9,0
R2026-00019,Medio,7,6.09,47.6,1
R2026-00020,Duro,39,3.88,36.5,1
R2026-00021,Duro,37,2.98,44.7,0
R2026-00022,Blando,-11,5.57,22.4,1
R2026-00023,Lluvia,35,,31.3,1
R2026-00024,Medio,42,3.98,22.2,0
R2026-00025,Blando,13,5.01,19.5,0
R2026-00026,Duro,,5.68,35.0,0
R2026-00027,Medio,30,3.92,28.7,0
R2026-00028,Duro,43,3.72,41.4,1
R2026-00029,Blando,3,6.1,47.0,1
R2026-00030,Lluvia,4,2.22,42.6,1
R2026-00031,Blando,33,2.19,23.2,0
R2026-00032,Duro,6,4.3,49.0,1
R2026-00033,Duro,17,5.95,16.1,0
R2026-00034,Medio,31,2.12,38.9,1
R2026-00035,Lluvia,27,5.26,31.9,1
R2026-00036,Duro,11,2.27,21.0,0
R2026-00037,Medio,25,4.94,31.6,0
R2026-00038,Medio,32,6.37,43.7,0
R2026-00039,Blando,3,NaN,16.7,0
R2026-00040,Blando,20,2.93,32.1,0
R2026-00041,Medio,28,2.92,34.8,0
R2026-00042,Lluvia,40,,25.4,0
R2026-00043,Medio,21,6.5,24.5,1
R2026-00044,Duro,11,5.89,28.9,1
R2026-00045,Lluvia,1,2.58,32.2,0
R2026-00046,Duro,-9,3.2,54.4,1
R2026-00047,Medio,36,3.68,51.2,1
R2026-00048,Duro,25,5.2,28.8,0
R2026-00049,Duro,23,,21.5,1
R2026-00050,Lluvia,27,5.72,32.6,1
R2026-00051,Lluvia,42,3.45,25.8,1
R2026-00052,Duro,44,4.19,53.2,0
R2026-00053,Lluvia,26,4.17,43.9,0
R2026-00054,Blando,2,4.63,41.5,1
R2026-00055,Duro,42,3.14,40.4,0
R2026-00056,Lluvia,8,5.31,20.6,0
R2026-00057,Duro,44,4.52,51.6,0
R2026-00058,Lluvia,23,3.38,33.8,0
R2026-00059,Medio,18,6.09,19.5,0
R2026-00060,Duro,29,115.09,24.2,0
R2026-00061,Duro,30,4.24,37.4,0
R2026-00062,Medio,,2.61,46.7,1
R2026-00063,Duro,-3,2.98,43.9,1
R2026-00064,Lluvia,5,3.64,35.8,0
R2026-00065,Blando,42,2.15,25.3,0
R2026-00066,Lluvia,34,4.04,17.0,0
R2026-00067,Medio,7,3.72,47.0,1
R2026-00068,Blando,28,4.28,49.4,0
R2026-00069,Blando,21,5.66,19.4,1
R2026-00070,Medio,23,3.22,16.5,1
R2026-00071,Duro,7,2.96,29.5,0
R2026-00072,Duro,10,4.64,42.6,1
R2026-00073,Medio,5,59.61,20.9,0
R2026-00074,Duro,6,4.91,39.6,1
R2026-00075,Medio,6,4.27,15.9,0
R2026-00076,Duro,4,5.46,44.1,1
R2026-00077,Blando,-7,6.13,32.7,0
R2026-00078,Blando,-13,5.26,15.5,0
R2026-00079,Blando,26,4.22,37.3,1
R2026-00080,Medio,37,5.86,31.5,0
R2026-00081,Duro,41,5.55,47.4,0
R2026-00082,Medio,17,2.75,33.2,0
R2026-00083,Medio,34,3.35,24.9,0
R2026-00084,Blando,37,4.67,34.5,1
R2026-00085,Medio,38,4.02,47.8,1
R2026-00086,Lluvia,,5.23,16.1,1
R2026-00087,Lluvia,28,3.68,15.7,0
R2026-00088,Medio,33,4.09,18.2,0
R2026-00089,Blando,5,2.11,22.9,0
R2026-00090,Medio,20,2.9,16.6,0
R2026-00091,Blando,43,3.16,39.4,0
R2026-00092,Lluvia,28,5.58,22.2,1
R2026-00093,Lluvia,32,6.14,37.3,0
R2026-00094,Medio,30,4.38,53.2,1
R2026-00095,Duro,23,4.8,38.9,1
R2026-00096,,38,4.28,24.7,1
R2026-00097,Duro,11,4.28,40.0,1
R2026-00098,Duro,23,2.36,53.9,0
R2026-00099,Duro,NaN,2.99,14.4,0
R2026-00100,Blando,31,6.49,16.3,1
R2026-00101,Duro,15,5.9,NaN,0
R2026-00102,Duro,42,2.52,48.1,0
R2026-00103,Duro,13,5.82,44.3,1
R2026-00104,Lluvia,22,5.58,27.3,0
R2026-00105,Medio,1,4.39,43.3,1
R2026-00106,Medio,38,6.01,44.1,0
R2026-00107,Medio,23,2.45,20.4,1
R2026-00108,Duro,32,4.21,32.7,1
R2026-00109,Blando,8,3.15,32.3,1
R2026-00110,Blando,17,3.05,19.4,1
R2026-00111,Medio,43,3.28,28.7,1
R2026-00112,Duro,39,5.13,27.7,1
R2026-00113,Lluvia,NaN,6.08,50.6,1
R2026-00114,Duro,29,6.27,53.5,1
R2026-00115,Lluvia,15,4.88,45.6,0
R2026-00116,Medio,14,4.09,32.3,0
R2026-00117,Blando,42,5.12,37.3,1
R2026-00118,Duro,37,2.33,32.0,1
R2026-00119,Medio,39,2.84,37.5,0
R2026-00120,Lluvia,23,2.55,32.6,0
R2026-00121,Lluvia,40,3.52,22.2,1
R2026-00122,Blando,43,3.66,50.6,0
R2026-00123,Medio,40,5.85,21.4,1
R2026-00124,Lluvia,22,4.66,21.7,0
R2026-00125,Lluvia,37,5.95,42.0,1
R2026-00126,Duro,45,4.18,39.9,0
R2026-00127,Medio,45,6.17,28.9,1
R2026-00128,Blando,25,5.0,26.2,0
R2026-00129,Duro,33,2.82,37.0,1
R2026-00130,Lluvia,19,6.03,NaN,1
R2026-00131,Duro,33,4.8,47.4,1
R2026-00132,Blando,18,6.14,NaN,0
R2026-00133,Lluvia,43,2.22,53.9,1
R2026-00134,Lluvia,18,3.84,31.7,1
R2026-00135,Medio,41,5.63,20.1,0
R2026-00136,Duro,25,4.91,53.9,0
R2026-00137,Duro,9,5.15,41.2,1
R2026-00138,Blando,12,3.95,29.4,1
R2026-00139,Duro,35,5.71,37.0,0
R2026-00140,Medio,-13,2.45,19.2,0
R2026-00141,Medio,,4.05,18.4,0
R2026-00142,Medio,14,3.71,31.2,0
R2026-00143,Lluvia,NaN,110.25,14.9,1
R2026-00144,Lluvia,10,6.39,38.3,1
R2026-00145,Medio,37,5.77,42.7,0
R2026-00146,Blando,2,4.23,,1
R2026-00147,Blando,18,6.16,40.4,1
R2026-00148,Blando,34,2.83,42.7,0
R2026-00149,Blando,13,3.72,38.5,1
R2026-00150,Blando,6,NaN,26.2,1
R2026-00151,Medio,16,4.79,31.3,0
R2026-00152,Duro,45,2.38,50.3,1
R2026-00153,Lluvia,4,59.79,21.7,1
R2026-00154,Duro,34,5.76,46.4,1
R2026-00155,Lluvia,4,4.46,21.3,1
R2026-00156,Duro,41,5.7,34.9,0
R2026-00157,Blando,2,5.74,41.3,1
R2026-00158,Duro,-13,4.37,25.1,1
R2026-00159,Medio,41,3.15,35.5,1
R2026-00160,Duro,42,5.57,19.8,0
R2026-00161,Lluvia,26,2.3,41.6,1
R2026-00162,Blando,28,2.32,53.4,0
R2026-00163,Duro,23,6.04,50.0,1
R2026-00164,Blando,,4.05,50.7,0
R2026-00165,Medio,42,4.31,22.6,0
R2026-00166,Blando,20,4.33,47.9,1
R2026-00167,Blando,25,3.76,NaN,1
R2026-00168,Duro,8,3.38,52.3,1
R2026-00169,Lluvia,21,4.53,24.8,0
R2026-00170,Blando,37,4.61,43.9,0
R2026-00171,Duro,3,5.23,46.2,1
R2026-00172,Blando,11,4.41,43.8,1
R2026-00173,Medio,18,6.21,40.3,0
R2026-00174,Medio,45,2.26,28.6,1
R2026-00175,Lluvia,28,,38.8,0
R2026-00176,Duro,5,4.39,36.9,1
R2026-00177,Medio,44,5.76,53.7,1
R2026-00178,Lluvia,NaN,5.13,14.6,1
R2026-00179,Duro,4,4.11,24.3,0
R2026-00180,Medio,44,2.19,36.4,0
R2026-00181,Blando,3,5.46,17.4,1
R2026-00182,Lluvia,19,4.24,23.5,1
R2026-00183,Duro,4,5.68,29.9,1
R2026-00184,Lluvia,27,4.41,48.1,0
R2026-00185,Medio,31,4.63,32.2,1
R2026-00186,Blando,29,3.16,49.0,1
R2026-00187,Lluvia,13,2.41,46.2,0
R2026-00188,Lluvia,13,4.07,27.8,1
R2026-00189,Medio,42,2.48,54.4,1
R2026-00190,Lluvia,27,5.23,24.8,0
R2026-00191,Lluvia,12,4.81,35.5,0
R2026-00192,Lluvia,45,2.7,54.5,1
R2026-00193,Duro,10,6.16,22.0,1
R2026-00194,Medio,23,4.97,38.0,0
R2026-00195,Blando,,5.93,16.2,1
R2026-00196,,9,6.47,21.3,1
R2026-00197,Medio,6,4.11,31.0,1
R2026-00198,Duro,23,6.29,43.8,0
R2026-00199,Lluvia,2,2.52,28.3,1
R2026-00200,Medio,37,5.19,54.4,0
R2026-00201,Medio,41,2.88,52.0,0
R2026-00202,Duro,43,5.9,36.5,0
R2026-00203,Duro,26,3.21,22.2,1
R2026-00204,Medio,33,6.47,,0
R2026-00205,Blando,44,5.86,16.1,0
R2026-00206,Blando,,4.1,50.9,0
R2026-00207,Blando,5,3.41,36.7,0
R2026-00208,Lluvia,17,2.97,19.1,0
R2026-00209,Blando,39,3.85,50.8,1
R2026-00210,Blando,40,5.91,45.8,0
R2026-00211,Blando,2,3.32,30.4,0
R2026-00212,Medio,-15,3.63,54.0,0
R2026-00213,Lluvia,36,4.82,49.8,0
R2026-00214,Blando,26,5.14,44.1,0
R2026-00215,Medio,26,79.82,47.1,0
R2026-00216,Duro,-1,57.33,47.1,0
R2026-00217,Lluvia,13,NaN,19.2,0
R2026-00218,Lluvia,2,3.24,35.3,1
R2026-00219,Medio,-10,2.26,43.5,1
R2026-00220,Medio,37,4.84,54.9,1
R2026-00221,Medio,15,6.3,52.2,1
R2026-00222,Blando,14,,34.9,1
R2026-00223,Duro,13,5.52,15.1,0
R2026-00224,Duro,,,39.8,1
R2026-00225,Lluvia,21,4.68,25.2,0
R2026-00226,Medio,2,3.6,49.3,1
R2026-00227,Blando,36,2.88,22.9,0
R2026-00228,Lluvia,28,6.15,28.1,0
R2026-00229,Blando,2,6.09,29.2,1
R2026-00230,Lluvia,27,4.09,35.3,0
R2026-00231,Medio,25,3.39,38.1,1
R2026-00232,Medio,13,3.48,41.3,1
