aficionado_id,ciudad_sede,costo_vuelo_usd,costo_hotel_usd,dias_estadia,presupuesto_excedido
FAN-00001,Monterrey,409.63,249.73,1,1
FAN-00002,Monterrey,2482.4,636.72,7,0
FAN-00003,CDMX,448.16,142.56,8,0
FAN-00004,CDMX,1407.02,,4,1
FAN-00005,CDMX,496.25,150.85,10,1
FAN-00006,CDMX,2107.13,240.93,8,1
FAN-00007,Monterrey,868.75,751.75,12,0
FAN-00008,Monterrey,1727.4,271.53,8,1
FAN-00009,Monterrey,1389.07,214.55,NaN,0
FAN-00010,Monterrey,1296.66,237.63,9,0
FAN-00011,Miami,2186.83,666.74,2,1
FAN-00012,Miami,1049.42,88.82,2,0
FAN-00013,Monterrey,2379.13,89.2,6,1
FAN-00014,CDMX,1199.67,347.79,12,1
FAN-00015,Monterrey,1765.77,533.73,9,0
FAN-00016,Miami,725.96,312.92,12,0
FAN-00017,Monterrey,945.26,891.96,7,1
FAN-00018,Miami,831.91,345.03,10,0
FAN-00019,Monterrey,1331.43,269.78,9,0
FAN-00020,Miami,,183.59,2,1
FAN-00021,Monterrey,1284.8,801.96,9,0
FAN-00022,Monterrey,1666.82,428.05,3,0
FAN-00023,CDMX,185.75,475.28,13,0
FAN-00024,Miami,1494.65,283.26,5,1
FAN-00025,Miami,369.19,653.37,4,1
FAN-00026,Miami,476.43,715.08,7,0
FAN-00027,Miami,1390.67,583.93,10,1
FAN-00028,CDMX,1328.89,177.11,7,0
FAN-00029,CDMX,1485.55,441.96,1,0
FAN-00030,Monterrey,613.02,447.2,NaN,1
FAN-00031,Miami,1225.26,381.33,5,1
FAN-00032,CDMX,NaN,686.19,13,1
FAN-00033,Monterrey,2395.04,702.84,6,0
FAN-00034,Monterrey,473.31,155.11,14,1
FAN-00035,Miami,1499.97,768.51,7,0
FAN-00036,CDMX,2224.83,696.97,13,0
FAN-00037,CDMX,2210.84,240.33,9,0
FAN-00038,CDMX,715.51,296.45,13,1
FAN-00039,Monterrey,2300.28,693.41,9,0
FAN-00040,Monterrey,876.47,761.84,7,0
FAN-00041,Miami,1627.25,222.26,5,1
FAN-00042,Miami,1678.08,812.67,,1
FAN-00043,CDMX,1365.67,298.74,6,0
FAN-00044,CDMX,2106.59,211.93,11,1
FAN-00045,Monterrey,NaN,647.34,1,1
FAN-00046,CDMX,1788.24,,10,1
FAN-00047,Miami,316.79,82759.37,11,0
FAN-00048,Miami,908.42,536.01,3,1
FAN-00049,CDMX,972.54,,13,0
FAN-00050,CDMX,249.18,287.44,14,0
FAN-00051,Miami,631.83,587.88,5,1
FAN-00052,Monterrey,1060.26,NaN,1,1
FAN-00053,Monterrey,1790.39,890.03,8,1
FAN-00054,Monterrey,1849.35,188.55,2,1
FAN-00055,Monterrey,350.55,554.86,NaN,0
FAN-00056,Monterrey,1998.6,524.05,11,1
FAN-00057,Miami,803.79,450.77,5,0
FAN-00058,Miami,485.65,516.97,11,0
FAN-00059,Monterrey,2222.62,206.18,7,0
FAN-00060,CDMX,706.08,,12,0
FAN-00061,Miami,NaN,735.26,14,0
FAN-00062,Miami,1488.48,805.72,7,0
FAN-00063,CDMX,786.22,446.67,2,0
FAN-00064,Miami,1327.68,501.38,2,0
FAN-00065,CDMX,582.58,398.28,9,0
FAN-00066,Miami,2169.28,642.23,5,1
FAN-00067,Miami,1679.81,420.89,13,1
FAN-00068,CDMX,1714.59,776.22,11,0
FAN-00069,Miami,1242.38,222.93,3,0
FAN-00070,Miami,1724.48,336.09,4,1
FAN-00071,Miami,1753.67,309.09,10,1
FAN-00072,CDMX,1811.91,618.18,12,0
FAN-00073,Miami,455.9,,3,1
FAN-00074,CDMX,645.26,445.19,4,1
FAN-00075,Monterrey,1455.69,522.03,8,1
FAN-00076,Miami,662.36,,11,0
FAN-00077,Miami,1935.33,569.73,2,1
FAN-00078,CDMX,,,2,0
FAN-00079,Miami,1655.34,708.76,14,1
FAN-00080,CDMX,2391.46,526.33,9,1
FAN-00081,CDMX,636.14,99.58,13,0
FAN-00082,Monterrey,267.02,360.3,14,1
FAN-00083,Monterrey,1592.92,415.62,5,0
FAN-00084,Miami,1030.14,252.22,1,1
FAN-00085,Miami,2079.87,194.46,8,1
FAN-00086,CDMX,1679.14,599.21,6,1
FAN-00087,CDMX,1597.35,825.5,10,0
FAN-00088,CDMX,668.83,657.8,11,1
FAN-00089,Miami,1124.94,216.91,8,0
FAN-00090,Monterrey,1170.89,584.93,13,1
FAN-00091,Miami,1550.26,527.45,5,1
FAN-00092,Miami,304.29,736.27,3,1
FAN-00093,CDMX,1773.23,683.79,NaN,1
FAN-00094,Monterrey,939.61,283.81,10,1
FAN-00095,CDMX,1993.89,762.65,6,0
FAN-00096,CDMX,1075.96,290.79,9,1
FAN-00097,Miami,NaN,454.0,14,0
FAN-00098,Monterrey,1329.88,567.23,13,0
FAN-00099,CDMX,1858.94,465.75,13,1
FAN-00100,Monterrey,325.61,414.32,13,1
FAN-00101,Monterrey,2052.19,246.16,14,1
FAN-00102,CDMX,325.01,296.07,8,1
FAN-00103,Monterrey,1642.17,,6,1
FAN-00104,CDMX,NaN,791.45,10,1
FAN-00105,Monterrey,NaN,767.17,1,1
FAN-00106,Monterrey,954.57,839.61,12,0
FAN-00107,Miami,705.67,438.26,5,0
FAN-00108,CDMX,219.36,478.91,7,0
FAN-00109,Miami,2320.38,695.65,12,1
FAN-00110,CDMX,1974.98,252.97,5,0
FAN-00111,CDMX,1016.71,135.49,12,1
FAN-00112,Miami,567.09,551.69,8,1
FAN-00113,Miami,2420.38,401.85,4,1
