cliente_id,edad,tickets_soporte,metodo_pago,gasto_total,abandono
CLI-00001,42,10,Transferencia,96.08,1
CLI-00002,35,13,PayPal,2113.25,1
CLI-00003,32,12,PayPal,4757.98,0
CLI-00004,24,14,PayPal,3316.05,1
CLI-00005,48,12,PayPal,5906.54,0
CLI-00006,73,7,Transferencia,6064.57,1
CLI-00007,48,17,Transferencia,3105.01,0
CLI-00008,79,7,Tarjeta,7844.81,1
CLI-00009,19,15,Transferencia,6199.78,0
CLI-00010,53,10,Tarjeta,3226.68,0
CLI-00011,,19,PayPal,7703.27,0
CLI-00012,43,15,PayPal,3305.6,0
CLI-00013,76,14,Transferencia,7453.7,0
CLI-00014,22,12,Tarjeta,4659.48,0
CLI-00015,59,2,PayPal,1294.37,1
CLI-00016,59,8,Transferencia,NaN,0
CLI-00017,80,2,Transferencia,1239.62,1
CLI-00018,52,3,Transferencia,,0
CLI-00019,78,6,Transferencia,232.1,0
CLI-00020,80,12,PayPal,6940.09,1
CLI-00021,32,14,,3096.61,1
CLI-00022,59,7,Transferencia,6213.36,0
CLI-00023,39,11,,4517.43,0
CLI-00024,40,0,Tarjeta,-196.44,1
CLI-00025,,17,PayPal,1135.37,0
CLI-00026,42,20,PayPal,7613.29,0
CLI-00027,70,19,Transferencia,2755.85,1
CLI-00028,21,19,Tarjeta,923.52,0
CLI-00029,73,9,PayPal,889.07,0
CLI-00030,61,8,Tarjeta,7983.02,1
CLI-00031,66,,Tarjeta,5750.79,0
CLI-00032,18,,PayPal,5873.22,0
CLI-00033,32,20,Tarjeta,6894.56,0
CLI-00034,72,10,Tarjeta,222.95,1
CLI-00035,31,11,,2845.4,0
CLI-00036,34,20,PayPal,5006.74,0
CLI-00037,NaN,6,PayPal,7798.91,0
CLI-00038,57,12,Tarjeta,2661.49,0
CLI-00039,74,17,Transferencia,1314.27,1
CLI-00040,55,13,PayPal,NaN,0
CLI-00041,80,13,Tarjeta,2909.24,0
CLI-00042,42,16,Transferencia,3896.39,0
CLI-00043,68,15,Tarjeta,4220.77,1
CLI-00044,51,11,PayPal,6132.72,0
CLI-00045,22,1,Transferencia,5519.33,0
CLI-00046,63,19,Tarjeta,2792.95,0
CLI-00047,78,20,Tarjeta,7442.18,1
CLI-00048,0,16,PayPal,5625.14,1
CLI-00049,190,11,Transferencia,2671.87,0
CLI-00050,80,5,Tarjeta,301.85,1
CLI-00051,70,1,Transferencia,4020.49,1
CLI-00052,65,5,PayPal,938.28,1
CLI-00053,27,4,PayPal,5802.96,0
CLI-00054,76,9,PayPal,395.14,1
CLI-00055,52,11,Tarjeta,1535.91,0
CLI-00056,23,10,Transferencia,6648.16,0
CLI-00057,46,13,PayPal,2889.75,1
CLI-00058,29,17,Tarjeta,241.12,1
CLI-00059,72,4,PayPal,6792.09,0
CLI-00060,32,14,Tarjeta,-173.47,0
CLI-00061,NaN,15,Tarjeta,-414.85,0
CLI-00062,28,15,Tarjeta,2917.22,1
CLI-00063,68,14,Transferencia,2890.62,0
CLI-00064,42,14,PayPal,4896.74,1
CLI-00065,21,3,Tarjeta,6145.01,0
CLI-00066,33,0,Transferencia,6008.55,1
CLI-00067,41,10,Transferencia,6897.76,1
CLI-00068,31,,Transferencia,620.81,0
CLI-00069,39,0,PayPal,7761.03,0
CLI-00070,36,12,PayPal,5978.65,1
CLI-00071,61,13,Tarjeta,2708.05,1
CLI-00072,26,13,Transferencia,6216.91,0
CLI-00073,71,,Tarjeta,3404.42,1
CLI-00074,29,8,Transferencia,2236.3,0
CLI-00075,24,0,PayPal,7699.38,0
CLI-00076,74,2,Transferencia,3764.52,1
CLI-00077,28,11,PayPal,5325.55,0
CLI-00078,45,11,Transferencia,206.03,0
CLI-00079,27,20,PayPal,3620.53,0
CLI-00080,73,3,Transferencia,6511.98,1
CLI-00081,18,1,Tarjeta,7692.92,0
CLI-00082,26,2,Transferencia,1888.38,1
CLI-00083,48,9,Tarjeta,2015.31,0
CLI-00084,44,4,Transferencia,4277.37,1
CLI-00085,43,6,PayPal,,0
CLI-00086,190,0,PayPal,7227.55,0
CLI-00087,74,11,Tarjeta,4552.65,0
CLI-00088,27,14,Transferencia,4007.28,1
CLI-00089,77,7,PayPal,4598.39,0
CLI-00090,59,7,PayPal,6653.99,1
CLI-00091,34,16,,7090.4,0
CLI-00092,43,0,Tarjeta,NaN,0
CLI-00093,55,16,Tarjeta,7760.91,0
CLI-00094,-5,6,PayPal,766.83,0
CLI-00095,39,1,PayPal,NaN,1
CLI-00096,55,15,PayPal,7906.31,0
CLI-00097,45,19,PayPal,356.97,0
CLI-00098,61,16,Transferencia,3251.52,1
CLI-00099,28,12,,5373.06,1
CLI-00100,48,10,Tarjeta,2095.6,0
CLI-00101,20,4,PayPal,1643.68,0
CLI-00102,NaN,4,PayPal,6017.04,1
CLI-00103,37,NaN,Transferencia,5922.48,0
CLI-00104,19,1,Tarjeta,6011.22,0
CLI-00105,44,9,Tarjeta,2083.53,1
CLI-00106,41,10,PayPal,3914.86,0
CLI-00107,73,7,PayPal,202.03,1
CLI-00108,64,5,,2459.74,1
CLI-00109,76,6,PayPal,1253.79,0
CLI-00110,26,4,Transferencia,1611.79,0
CLI-00111,71,5,Transferencia,7955.97,0
CLI-00112,40,19,PayPal,269.6,1
CLI-00113,55,11,,7544.14,1
CLI-00114,51,17,Tarjeta,7338.84,1
CLI-00115,76,5,PayPal,3264.13,0
CLI-00116,71,0,Transferencia,2799.47,0
CLI-00117,58,2,PayPal,2812.71,0
CLI-00118,64,18,Tarjeta,7108.93,0
CLI-00119,24,9,Tarjeta,5751.61,1
CLI-00120,24,17,PayPal,3749.77,1
CLI-00121,42,20,Tarjeta,1061.83,1
CLI-00122,50,10,Transferencia,4912.78,0
CLI-00123,54,2,Transferencia,7364.46,0
CLI-00124,39,6,PayPal,6002.74,0
CLI-00125,48,2,PayPal,2663.38,0
CLI-00126,49,3,PayPal,5628.33,0
CLI-00127,-5,3,Tarjeta,2487.96,1
CLI-00128,18,16,Tarjeta,7554.2,0
CLI-00129,69,2,PayPal,223.48,1
CLI-00130,-5,20,PayPal,4821.57,0
CLI-00131,65,19,PayPal,7516.7,0
CLI-00132,21,17,Tarjeta,4867.83,1
CLI-00133,67,15,PayPal,1781.26,1
CLI-00134,56,6,Transferencia,32.71,0
CLI-00135,32,4,Tarjeta,4397.43,1
CLI-00136,63,NaN,Tarjeta,3131.36,1
CLI-00137,23,7,PayPal,3493.59,1
CLI-00138,28,15,Tarjeta,3628.38,0
CLI-00139,25,16,Tarjeta,1646.63,0
CLI-00140,40,5,Tarjeta,6272.35,1
CLI-00141,22,14,PayPal,1261.81,1
CLI-00142,47,8,Transferencia,3665.07,1
CLI-00143,53,10,Tarjeta,1609.53,0
CLI-00144,210,5,PayPal,2525.64,1
CLI-00145,33,4,Transferencia,6157.07,0
CLI-00146,56,8,Transferencia,5982.19,0
CLI-00147,75,20,Tarjeta,587.97,1
CLI-00148,79,9,Transferencia,2076.71,1
CLI-00149,43,5,Transferencia,7819.63,1
CLI-00150,73,16,,737.62,0
CLI-00151,37,3,Transferencia,3169.23,0
CLI-00152,78,8,Transferencia,6797.24,1
CLI-00153,56,3,Tarjeta,4080.98,0
CLI-00154,20,20,PayPal,221.34,0
CLI-00155,20,4,Tarjeta,,1
CLI-00156,66,3,Transferencia,NaN,1
CLI-00157,58,10,PayPal,5823.43,0
CLI-00158,40,1,PayPal,7591.12,1
CLI-00159,18,15,Tarjeta,2944.63,1
CLI-00160,73,10,Transferencia,4663.48,0
CLI-00161,36,8,Tarjeta,4067.7,1
CLI-00162,23,17,Transferencia,2002.46,0
CLI-00163,21,20,Tarjeta,1599.65,1
CLI-00164,68,15,PayPal,5036.49,1
CLI-00165,67,9,,-366.1,0
CLI-00166,26,2,Transferencia,5955.22,0
CLI-00167,28,0,Transferencia,5545.62,1
CLI-00168,27,,Tarjeta,7529.94,1
CLI-00169,25,,Transferencia,4132.67,0
CLI-00170,65,11,Tarjeta,,0
CLI-00171,27,12,Transferencia,2026.34,1
CLI-00172,75,15,,6516.47,0
CLI-00173,32,15,PayPal,773.83,1
CLI-00174,50,NaN,Transferencia,4041.8,0
CLI-00175,43,1,Tarjeta,2303.6,0
CLI-00176,65,15,PayPal,7452.41,1
CLI-00177,18,9,Tarjeta,,0
CLI-00178,35,14,Tarjeta,4852.5,0
CLI-00179,45,10,Transferencia,3650.93,1
CLI-00180,26,6,Tarjeta,6214.54,1
CLI-00181,28,0,Tarjeta,1847.48,1
CLI-00182,78,8,PayPal,1613.77,0
CLI-00183,58,8,PayPal,2635.62,1
CLI-00184,44,20,Tarjeta,3435.39,1
CLI-00185,48,12,Tarjeta,757.56,1
CLI-00186,38,15,Transferencia,6298.59,0
CLI-00187,73,3,Transferencia,4071.43,0
CLI-00188,43,7,Transferencia,4639.12,0
CLI-00189,32,4,PayPal,455.93,0
CLI-00190,67,1,PayPal,4346.65,0
CLI-00191,77,1,PayPal,1859.9,0
CLI-00192,56,11,PayPal,3049.04,0
CLI-00193,57,16,PayPal,3599.64,0
CLI-00194,49,10,PayPal,2615.16,0
CLI-00195,27,14,PayPal,567.59,0
CLI-00196,47,8,Transferencia,-85.48,1
CLI-00197,56,16,PayPal,5066.57,1
CLI-00198,61,5,,4892.91,0
CLI-00199,75,1,PayPal,1526.3,1
CLI-00200,36,19,Transferencia,3585.86,1
CLI-00201,58,12,Transferencia,499.86,0
CLI-00202,64,8,Transferencia,3864.94,1
CLI-00203,52,11,PayPal,-436.14,1
CLI-00204,46,4,Transferencia,7678.1,1
CLI-00205,31,0,PayPal,7008.23,1
CLI-00206,62,8,,6256.76,0
CLI-00207,33,10,Transferencia,3846.8,0
CLI-00208,56,20,PayPal,1735.25,1
CLI-00209,19,18,PayPal,740.42,1
CLI-00210,74,7,Transferencia,3654.66,0
CLI-00211,77,12,Transferencia,740.39,0
CLI-00212,,6,PayPal,3588.28,0
CLI-00213,68,7,Tarjeta,7090.15,1
CLI-00214,69,20,PayPal,793.09,0
CLI-00215,37,15,Transferencia,2050.32,1
CLI-00216,45,3,Transferencia,6050.73,0
CLI-00217,48,6,PayPal,-55.84,0
CLI-00218,76,1,PayPal,6282.08,1
CLI-00219,45,6,Tarjeta,1363.65,1
CLI-00220,19,11,Transferencia,7909.0,1
CLI-00221,25,17,Tarjeta,5076.57,0
CLI-00222,74,6,Tarjeta,2973.05,1
CLI-00223,75,13,Tarjeta,3290.73,1
CLI-00224,65,11,Tarjeta,-233.91,1
CLI-00225,64,17,PayPal,6423.54,0
CLI-00226,56,3,Tarjeta,4723.22,0
CLI-00227,18,14,Tarjeta,-464.12,0
CLI-00228,46,9,,2712.13,0
CLI-00229,25,12,Tarjeta,6165.59,1
CLI-00230,25,13,PayPal,2876.45,1
CLI-00231,18,17,Tarjeta,5795.14,1
CLI-00232,70,5,Transferencia,5639.75,0
CLI-00233,63,7,Tarjeta,NaN,0
CLI-00234,44,12,Transferencia,4772.07,1
CLI-00235,63,18,Tarjeta,5470.25,1
CLI-00236,64,3,PayPal,623.27,1
CLI-00237,63,11,Transferencia,3623.18,0
CLI-00238,30,16,PayPal,1314.1,0
CLI-00239,77,19,PayPal,3010.07,1
